SampleID,Env
TL94,elder
TL62,elder
TL63,elder
TL37,elder
TL116,elder
TL31,elder
TL118,elder
TL13,elder
TL121,elder
TL57,elder
TL87,elder
TL64,elder
TL2,elder
TL108,elder
TL73,elder
TL55,elder
TL109,elder
TL77,elder
TL38,elder
TL12,elder
TL67,elder
TL10,elder
TL3,elder
TL14,elder
TL97,elder
TL123,elder
TL6,elder
100a,elder
TL120,elder
TL54,elder
TL117,elder
TL44,elder
TL71,elder
TL20,elder
TL1,elder
TL124,elder
TL78,elder
TL105,elder
TL81,elder
TL91,elder
TL66,elder
TL92,elder
TL88,elder
TL60,elder
TL69,elder
TL93,elder
TL113,elder
TL59,elder
TL115,elder
TL85,elder
TL4,elder
TL39,elder
TL16,elder
TL114,elder
TL129,elder
TL102,elder
TL110,elder
TL84,elder
TL112,elder
TL74,elder
TL70,elder
TL99,elder
TL82,elder
TL18,elder
TL23,elder
TL83,elder
100b,elder
TL90,elder
TL27,elder
TL5,elder
TL58,elder
TL119,elder
R38,Centenarians
R16,Centenarians
R183,Centenarians
R214,Centenarians
R39,Centenarians
R58,Centenarians
R201,Centenarians
R140,Centenarians
R28,Centenarians
R126,Centenarians
R144,Centenarians
R143,Centenarians
R149,Centenarians
R221,Centenarians
R175,Centenarians
R250,Centenarians
R83,Centenarians
R88,Centenarians
R223,Centenarians
R178,Centenarians
R212,Centenarians
R148,Centenarians
R96,Centenarians
R82,Centenarians
R161,Centenarians
R257,Centenarians
R137,Centenarians
R150,Centenarians
R238,Centenarians
R177,Centenarians
R130,Centenarians
R179,Centenarians
R68,Centenarians
R202,Centenarians
R77,Centenarians
R86,Centenarians
R106,Centenarians
R190,Centenarians
R243,Centenarians
R216,Centenarians
R70,Centenarians
R127,Centenarians
R45,Centenarians
R229,Centenarians
R224,Centenarians
R114,Centenarians
R111,Centenarians
R170,Centenarians
R26,Centenarians
R240,Centenarians
R113,Centenarians
R108,Centenarians
R66,Centenarians
R185,Centenarians
R119,Centenarians
R220,Centenarians
R71,Centenarians
R207,Centenarians
R87,Centenarians
R110,Centenarians
R159,Centenarians
R157,Centenarians
R215,Centenarians
R10,Centenarians
R194,Centenarians
R184,Centenarians
R239,Centenarians
R85,Centenarians
R213,Centenarians
R218,Centenarians
R153,Centenarians
R62,Centenarians
R21,Centenarians
R160,Centenarians
R134,Centenarians
R237,Centenarians
R204,Centenarians
R12,Centenarians
R217,Centenarians
R89,Centenarians
R168,Centenarians
R131,Centenarians
R155,Centenarians
R35,Centenarians
R209,Centenarians
R187,Centenarians
R37,Centenarians
R244,Centenarians
R128,Centenarians
R94,Centenarians
R118,Centenarians
R25,Centenarians
R234,Centenarians
R231,Centenarians
R167,Centenarians
R245,Centenarians
R121,Centenarians
R75,Centenarians
R117,Centenarians
R186,Centenarians
R188,Centenarians
R17,Centenarians
R181,Centenarians
R236,Centenarians
R219,Centenarians
R196,Centenarians
R205,Centenarians
R23,Centenarians
R65,Centenarians
R147,Centenarians
R256,Centenarians
R129,Centenarians
R226,Centenarians
R120,Centenarians
R136,Centenarians
R164,Centenarians
R189,Centenarians
R92,Centenarians
R78,Centenarians
